epoch,nmi,ari,acc,sil,iteration
19,0.8305004735876509,0.9056378131587987,0.9487018425460636,0.70811594,1
39,0.8362450871069431,0.916872425516783,0.9518425460636516,0.7131252,1
59,0.7778087768027505,0.8944244873575148,0.9271356783919598,0.7327617,1
79,0.8339134511598622,0.9131678949901634,0.9509003350083752,0.7788037,1
99,0.8110723559130899,0.9005821100403012,0.9359296482412061,0.75267303,1
19,0.8368596408879997,0.9093518533987693,0.9627303182579564,0.72613645,2
39,0.8431957708770681,0.9187288443813223,0.9526800670016751,0.8056026,2
59,0.7961586522079934,0.9007747080259865,0.940640703517588,0.79683673,2
79,0.7937273954073832,0.9029872349137684,0.9388609715242882,0.7976721,2
99,0.8059071888490127,0.9046355028900049,0.9475502512562815,0.7973524,2
19,0.8300525767224307,0.904268881618736,0.9498534338358459,0.7372851,3
39,0.7996285352122849,0.9028739715728099,0.9362437185929648,0.7295978,3
59,0.863924983868891,0.9243855752778983,0.9731993299832495,0.7943784,3
79,0.8568867325921262,0.9244258061930595,0.9691164154103853,0.8060927,3
99,0.8406576523893441,0.915537481839773,0.9555067001675042,0.80559146,3
19,0.7834330791542491,0.8539853417283273,0.9501675041876047,0.72498834,4
39,0.844698107052227,0.9175702418587861,0.9538316582914573,0.80123013,4
59,0.8300761156891223,0.9078296879641247,0.9491206030150754,0.80738753,4
79,0.8275304982333498,0.9079476975601974,0.9487018425460636,0.8038223,4
99,0.8578960411294699,0.9197046853410661,0.9712102177554439,0.79337955,4
19,0.8255456117112225,0.904235572408007,0.9463986599664992,0.7591874,5
39,0.8311987191631981,0.9100116897609339,0.9514237855946399,0.83859056,5
59,0.8410828662090889,0.9142717874237022,0.9554020100502513,0.8404646,5
79,0.8412667579901819,0.9153138268096905,0.9557160804020101,0.83456933,5
99,0.8413557707426468,0.9152885199970445,0.9563442211055276,0.8204985,5
19,0.8346474583587911,0.9071475437948727,0.9483877721943048,0.7395023,6
39,0.8443445986432775,0.910291661767972,0.9683835845896147,0.7944253,6
59,0.8014870786662978,0.9074115892067314,0.940640703517588,0.77972555,6
79,0.7990389316166656,0.9071766091013247,0.9424204355108877,0.78670543,6
99,0.840452062632142,0.9129859045811933,0.9654522613065326,0.7915953,6
19,0.8263809002502204,0.9034415443332069,0.9459798994974874,0.7254908,7
39,0.7785925638860838,0.8812997061081275,0.9399078726968174,0.75862914,7
59,0.8340690502508245,0.9125113076504792,0.9513190954773869,0.78204393,7
79,0.8299978853084519,0.910995179791319,0.9501675041876047,0.7815233,7
99,0.7947504010325598,0.9082288468265531,0.9359296482412061,0.7717212,7
19,0.8298551835783519,0.9055901615832693,0.9528894472361809,0.7132496,8
39,0.7791797088400055,0.8905673483026224,0.9272403685092128,0.7083609,8
59,0.8335339963468242,0.9098987491779773,0.9532035175879398,0.7587566,8
79,0.8052699932662376,0.8995712609538357,0.9379187604690117,0.7424758,8
99,0.8401316000545525,0.9152057914727482,0.9524706867671692,0.771495,8
19,0.8281467926887949,0.9034039569445651,0.9474455611390284,0.79247546,9
39,0.8329681555333682,0.9178743992747989,0.9564489112227805,0.8637231,9
59,0.8258060029064668,0.9048562011700972,0.9490159128978225,0.8477913,9
79,0.7737349852511389,0.886442078339046,0.9259840871021775,0.8315802,9
99,0.7950668167157554,0.8975636648111934,0.9431532663316583,0.82081836,9
19,0.8237196686456522,0.9032047451933425,0.9478643216080402,0.79192215,10
39,0.8502862356005482,0.9259751736798161,0.9561348408710217,0.81903386,10
59,0.8575628533976362,0.9278583160285333,0.9563442211055276,0.8082859,10
79,0.8570639436252325,0.9277778980801034,0.9570770519262981,0.80680704,10
99,0.8672226252697414,0.92786123000338,0.972675879396985,0.7933224,10
19,0.825855834963441,0.9021280312212949,0.9484924623115578,0.7415909,11
39,0.7714014581963016,0.8740372654893855,0.9258793969849246,0.7571842,11
59,0.7625449492989383,0.8761512366150385,0.9217964824120602,0.8134968,11
79,0.8121484004552245,0.8960218822058093,0.9442001675041876,0.8365268,11
99,0.8146197352846971,0.89926897594103,0.9453517587939698,0.8263671,11
19,0.8350694312932961,0.9141536646868,0.9520519262981575,0.7792074,12
39,0.788887347607607,0.8966900757240591,0.928287269681742,0.7818006,12
59,0.835632542468712,0.9098150105891468,0.949748743718593,0.79712754,12
79,0.832261017990419,0.9078217761913189,0.9490159128978225,0.7984925,12
99,0.8337362926944064,0.9111046669498682,0.9511097152428811,0.7926741,12
19,0.802278805936502,0.8940656058652128,0.9348827470686767,0.7537394,13
39,0.7892781790824055,0.887358662152226,0.9307998324958124,0.7876883,13
59,0.8409153194523501,0.9158676736907948,0.9515284757118928,0.8027082,13
79,0.8382307786445712,0.9193364126333476,0.952784757118928,0.7926188,13
99,0.8387262260450662,0.9193097044757954,0.9529941373534339,0.79035497,13
19,0.8231754803884329,0.9010229869720002,0.9498534338358459,0.71647805,14
39,0.7930803546774485,0.8938182704372701,0.9332077051926299,0.7443872,14
59,0.7778180880597673,0.8784232436433036,0.9224246231155779,0.7442214,14
79,0.7839263285268486,0.8920206993886252,0.9270309882747069,0.7649878,14
99,0.8292289103634405,0.9083611374049808,0.9477596314907872,0.7971375,14
19,0.8242302323390137,0.9026468138258924,0.9485971524288107,0.7857494,15
39,0.7952635888467713,0.9011031907624146,0.9310092127303182,0.78979015,15
59,0.7513221942481378,0.8535719082827041,0.9130025125628141,0.71628606,15
79,0.8252649953345951,0.9018392051199563,0.9469221105527639,0.82927346,15
99,0.765003621456256,0.8823166738200862,0.9230527638190955,0.8107527,15
19,0.8332876536009206,0.9065422767614743,0.9539363484087102,0.7440401,16
39,0.8091875085905249,0.9100007569808507,0.9413735343383585,0.7915528,16
59,0.7693529535042567,0.887422223263692,0.9286013400335008,0.7923772,16
79,0.8384892026616835,0.9171119953280019,0.9537269681742043,0.8131928,16
99,0.8338716604882037,0.9148149526039243,0.9518425460636516,0.8091461,16
19,0.8237900203104541,0.9040010980766595,0.9500628140703518,0.72847724,17
39,0.7665278634411429,0.8703794825205868,0.922215242881072,0.7958365,17
59,0.7882961395123371,0.8796691225083255,0.9540410385259631,0.8017621,17
79,0.7667732666072885,0.8788984346355001,0.9225293132328308,0.801632,17
99,0.7692160697287918,0.8808019513660491,0.9228433835845896,0.79671246,17
19,0.7960178024227099,0.8997947848639223,0.940640703517588,0.72468245,18
39,0.8347656177257641,0.9150378073517278,0.952784757118928,0.75963575,18
59,0.8266657881309951,0.9063208680679394,0.9506909547738693,0.79066,18
79,0.8219686232176058,0.9027766714269724,0.9482830820770519,0.80161947,18
99,0.7723176031129952,0.885686319613316,0.9253559463986599,0.7852507,18
19,0.8399120630193638,0.9185458579126417,0.9546691792294807,0.8035862,19
39,0.7874268702963695,0.8953829577077614,0.9304857621440537,0.8080336,19
59,0.774032453501358,0.884728902876669,0.9265075376884422,0.79155904,19
79,0.8691319415595773,0.9221706495311186,0.9763400335008375,0.7964561,19
99,0.8633412500257412,0.9228275137023152,0.9733040201005025,0.790253,19
19,0.8427227342559921,0.9181927143284323,0.9655569514237856,0.76426905,20
39,0.8562085109247287,0.920772688571294,0.9718383584589615,0.7791245,20
