epoch,nmi,ari,acc,sil,iteration
19,0.7660294004782506,0.8540817799461273,0.9651223868053367,0.7175894,1
39,0.008689738032313914,-0.032333552814585734,0.7438806597331652,0.50573206,1
59,0.6880880968763906,0.7737656504854231,0.9439016703435235,0.6684756,1
79,0.6819487997504716,0.7672552089144128,0.9421157684630739,0.66279864,1
99,0.8509204785226443,0.9263708404304445,0.9829814056098329,0.67257833,1
19,0.7632313448440867,0.8516047494574626,0.9644920684945898,0.7090351,2
39,0.8161953551721702,0.8982254639706361,0.9761529572434079,0.6812439,2
59,0.8620779697001135,0.9347152075525328,0.9849774135938649,0.675321,2
79,0.8675336056754278,0.9374342397135409,0.9856077319046118,0.68153524,2
99,0.7912087748387938,0.8810377803762647,0.9719508351717617,0.6816442,2
19,0.7545230973091437,0.8437962481119252,0.9624960605105578,0.7282148,3
39,0.6589056997250355,0.739090120512414,0.9342367895787372,0.6758032,3
59,0.6542031249674747,0.7313761211601613,0.9320306754911231,0.67844254,3
79,0.6551782493408875,0.7324835759170937,0.9323458346464965,0.6825702,3
99,0.6559951676971513,0.7346703091316307,0.9329761529572435,0.6952373,3
19,0.8210161749477006,0.8996057433590674,0.9764681163987814,0.7127144,4
39,0.844220956569326,0.9211288498983823,0.9817207689883392,0.67807883,4
59,0.8467050991021625,0.9237166329836005,0.982351087299086,0.6782213,4
79,0.8499386527325548,0.9255010494523757,0.9827712995062506,0.6773848,4
99,0.8526541306001164,0.928101826938705,0.9834016178169975,0.70585227,4
19,0.736237240091642,0.8275079032824396,0.9582939384389116,0.7293642,5
39,0.8322506426451806,0.9103208434034944,0.9790944426935603,0.6960616,5
59,0.884006536332544,0.9485300924241358,0.9882340581993907,0.68844455,5
79,0.8895667325612208,0.9516836792218236,0.9889694295619288,0.7091862,5
99,0.8888810759918178,0.9512405609384075,0.9888643765101376,0.6922444,5
19,0.6619415694317958,0.7413541696050975,0.9348671078894842,0.7373614,6
39,0.8350693522841248,0.914156359080857,0.9800399201596807,0.68877214,6
59,0.8403715909952403,0.9189121346711272,0.9811955037293834,0.68837214,6
79,0.6569791174754652,0.7357813502579205,0.9332913121126168,0.66889364,6
99,0.8392158572495713,0.9176242210359973,0.9808803445740099,0.69166726,6
19,0.7564390283802288,0.8466236838310132,0.9632314318730959,0.71702677,7
39,0.7537039701620246,0.8441621899875589,0.962601113562349,0.669716,7
59,0.6526610916622708,0.7331270537630568,0.9325559407500787,0.6662483,7
79,0.6536427399440545,0.7331589172700852,0.9325559407500787,0.67741096,7
99,0.6552787653659417,0.7350088347901689,0.9330812060090345,0.68405306,7
19,0.7655614140297463,0.8536685672248968,0.9650173337535456,0.7317318,8
39,0.828050980495569,0.9068663954459957,0.978254018279231,0.6922743,8
59,0.7392586168383875,0.8303376013123175,0.9590293098014497,0.66479725,8
79,0.6906051021831073,0.7745913970930659,0.9441117764471058,0.65339243,8
99,0.7433999155127623,0.8336033244483759,0.9598697342157789,0.65635544,8
19,0.7509911648292338,0.8417060381989516,0.961970795251602,0.69993085,9
39,0.821008573721809,0.902918380048924,0.9773085408131106,0.6792535,9
59,0.8642205711598904,0.9364637902419723,0.9853976258010295,0.68848044,9
79,0.8834370372528555,0.9484883737158053,0.9882340581993907,0.685919,9
