epoch,avg_nmi,avg_ari,avg_acc,avg_sil,iterations
19,0.9163937480561504,0.8901776634521396,0.8825581395348838,0.42840725,20
39,0.9232284077123145,0.9112288572589607,0.8975083056478408,0.55036056,20
59,0.9318907029236264,0.9339244202266894,0.9151162790697676,0.57204574,20
79,0.9199240908432434,0.9116406984267463,0.8892026578073091,0.5678775,20
99,0.9243563020350066,0.9229041765411298,0.9019933554817279,0.57122105,20
