epoch,avg_nmi,avg_ari,avg_acc,avg_sil,iterations
19,0.7234761061462179,0.6328552503683167,0.6442124105011933,0.2352663,20
39,0.7164068317838598,0.5975183916054034,0.6192124105011932,0.36032537,20
59,0.7564578531927539,0.6219208219376525,0.6283711217183771,0.4511547,20
79,0.8001066475752829,0.6659946930531743,0.6759248210023867,0.52422845,20
99,0.8185674124429034,0.7063971586063983,0.699164677804296,0.5836138,20
