epoch,nmi,ari,acc,sil,iteration
19,0.8361897237530026,0.8092623249100007,0.8382126348228043,0.6463321,1
39,0.8350679809210093,0.80489119492464,0.8359013867488444,0.66794693,1
59,0.8376326914870982,0.8125179524096051,0.8437596302003082,0.66498685,1
79,0.8480941521879728,0.8280614465914593,0.8590138674884438,0.6548052,1
99,0.8506082260883877,0.8330474670609617,0.8628659476117103,0.6523996,1
19,0.8377454059589974,0.8069688107620323,0.8328197226502311,0.6577779,2
39,0.8484095920562713,0.831499803095667,0.837904468412943,0.65704614,2
59,0.8432714796684977,0.8231561256459473,0.8431432973805855,0.6613366,2
79,0.8523390462720318,0.8418819205544801,0.8431432973805855,0.65228266,2
99,0.8530608343613791,0.8392674361577354,0.8110939907550077,0.6377218,2
19,0.8225132365362817,0.7975412180761035,0.7969183359013867,0.64766544,3
39,0.8365091657242654,0.8111376054618492,0.8375963020030817,0.6766379,3
59,0.8433243414148447,0.8198183603231716,0.8432973805855162,0.66313607,3
79,0.8493601661816511,0.8283072765698992,0.8560862865947612,0.65758425,3
99,0.843764848827651,0.8286431964569904,0.8268104776579352,0.6515724,3
19,0.8136650138036294,0.7783829816638619,0.7966101694915254,0.57429606,4
39,0.8335780386847231,0.8044057195108496,0.8416024653312789,0.6806038,4
59,0.8418521792898386,0.8180198931650418,0.8425269645608628,0.65695685,4
79,0.8497917719530692,0.8357162462820743,0.803235747303544,0.6361125,4
99,0.8404460119378265,0.8232362410701112,0.8531587057010785,0.6343301,4
19,0.8087069456943214,0.77626694129003,0.7679506933744222,0.6445001,5
39,0.8444278908657125,0.8283969301497107,0.8362095531587057,0.6554352,5
59,0.8509209510818493,0.8342049144381296,0.8442218798151001,0.65171266,5
79,0.8389847829217727,0.8171482054085754,0.8571648690292758,0.670436,5
99,0.8508910327669891,0.8354980706795043,0.8465331278890601,0.63920873,5
19,0.8193251332029687,0.7917490906485223,0.8268104776579352,0.6186378,6
39,0.8311621058082604,0.8028950538748264,0.8400616332819723,0.6787493,6
59,0.8485317809785271,0.8348066467536678,0.8436055469953775,0.65648156,6
79,0.8429914037766651,0.8255094719606066,0.8725731895223421,0.6671796,6
99,0.8588596737438774,0.8434574758781199,0.8747303543913714,0.63939595,6
19,0.8143481948878802,0.7785629428777137,0.764406779661017,0.6712528,7
39,0.836089813552959,0.8164759386564978,0.8049306625577812,0.660746,7
59,0.835841425696621,0.8100005411554647,0.8392912172573189,0.6548318,7
79,0.8419673166447534,0.8246914573261509,0.8654853620955316,0.6692947,7
99,0.8505481809020722,0.838342872829249,0.8494607087827427,0.63569516,7
19,0.8240611392923254,0.7898923973641808,0.7895223420647149,0.6934365,8
39,0.8297263479316704,0.8006696527323708,0.8414483821263482,0.6782067,8
59,0.8319634881849972,0.8102467253212632,0.8241910631741141,0.66465473,8
79,0.8548541826589062,0.8390392373952699,0.8471494607087827,0.6390182,8
99,0.8352316712608037,0.8117974553646723,0.8040061633281972,0.6155094,8
19,0.8243096105974399,0.7960020364312946,0.8018489984591679,0.59266204,9
39,0.836630902330994,0.8099755599696283,0.8451463790446841,0.67871773,9
59,0.8505742317142607,0.8366712780861577,0.8449922958397534,0.6584763,9
79,0.844734808499241,0.8310138922257257,0.8138674884437597,0.65711004,9
99,0.8540145284045769,0.8377878005007764,0.816024653312789,0.64037395,9
19,0.8213228677058215,0.7822758892071033,0.7910631741140216,0.70814866,10
39,0.841717481958048,0.827324383344594,0.8343605546995377,0.6603961,10
59,0.8254016605606953,0.797439226265958,0.8302003081664099,0.62612355,10
79,0.8508333515660299,0.8332222917845352,0.8654853620955316,0.65803534,10
99,0.8559016312225336,0.8412778327420751,0.8514637904468413,0.6401612,10
19,0.8127290456684567,0.7680654757064417,0.7642526964560863,0.655385,11
39,0.8377872991603619,0.8087159688294063,0.837442218798151,0.67376477,11
59,0.8404607485712167,0.815373435080398,0.8426810477657936,0.67414457,11
79,0.838582117901765,0.8256531244360635,0.8126348228043143,0.66407675,11
99,0.8481818126804404,0.835040989329383,0.8485362095531587,0.6544189,11
19,0.8141121413155622,0.7796109368932115,0.7637904468412943,0.6685457,12
39,0.8256886952598291,0.8074126044002046,0.79768875192604,0.661665,12
59,0.8427053140666386,0.8202335745087324,0.8391371340523883,0.6576042,12
79,0.8381498179607154,0.8240017958710123,0.8072419106317411,0.65162,12
99,0.8418628740861737,0.8240998790690829,0.8616332819722651,0.66158813,12
19,0.8194988529455552,0.7784651091966152,0.7688751926040062,0.60199696,13
39,0.8302246596709543,0.8075341137919617,0.8414483821263482,0.6798926,13
59,0.8395414378279905,0.8178138269446319,0.8440677966101695,0.6618444,13
79,0.8376742857123601,0.816238486744776,0.8597842835130971,0.6771428,13
99,0.8516798253776755,0.8360823154984768,0.8508474576271187,0.64986724,13
19,0.8345029878486886,0.8086637291213624,0.8332819722650231,0.65197164,14
39,0.840619955516761,0.8127434313718996,0.8428351309707242,0.6711237,14
59,0.8285131701557538,0.7993260449445571,0.7761171032357473,0.6256099,14
79,0.8429066849972996,0.8203579121659138,0.8713405238828967,0.6766208,14
99,0.84071756145773,0.8243146890968087,0.8120184899845917,0.64433175,14
19,0.8186090056641124,0.7880699112713482,0.7742681047765794,0.6839475,15
39,0.8448674297721498,0.8305483950424829,0.8386748844375963,0.6595467,15
59,0.8512070772036288,0.8394578936138576,0.8454545454545455,0.6533733,15
79,0.8463186514157681,0.8299347214835153,0.871648690292758,0.67414254,15
99,0.849966444490105,0.8353823079307017,0.8244992295839754,0.6482647,15
19,0.8109845213743063,0.7627521783279532,0.7442218798151001,0.64195174,16
39,0.8485122503479221,0.8311224169719754,0.837904468412943,0.6622692,16
59,0.8501781772885394,0.8342809908110718,0.8403697996918336,0.66189975,16
79,0.847926993711853,0.8338176387275512,0.8057010785824346,0.6425612,16
99,0.845927146862788,0.8303953386153187,0.8750385208012327,0.6677802,16
19,0.8232815779797956,0.7873087264065067,0.7955315870570108,0.7015706,17
39,0.8305507355098303,0.802403892504018,0.840215716486903,0.68102217,17
59,0.8517664987394128,0.8366598470101525,0.8454545454545455,0.66036767,17
79,0.8413392643610447,0.8221433289695642,0.8688751926040061,0.67734253,17
99,0.8402886129746132,0.8268453705575252,0.8117103235747304,0.64487314,17
19,0.815425655282859,0.7878845684448329,0.775808936825886,0.6598113,18
39,0.8253854882278396,0.8107807881638367,0.7838212634822804,0.64617664,18
59,0.8355799032092339,0.8129673585624069,0.8348228043143298,0.6658632,18
79,0.8430667328457305,0.8297832260284417,0.7984591679506934,0.6415242,18
99,0.8528802550429965,0.8382750840346059,0.847919876733436,0.6482687,18
19,0.8377663332978972,0.808789532467739,0.8386748844375963,0.6626494,19
39,0.8359849087352965,0.8181967751915588,0.7936825885978428,0.66061336,19
59,0.8457055583412738,0.8319352543008312,0.8399075500770417,0.6577412,19
79,0.8453402826765634,0.8288273646371814,0.8024653312788906,0.64557433,19
99,0.8498471926825107,0.8286985469090167,0.8596302003081664,0.6627187,19
19,0.8111333004507092,0.748795298593427,0.7428351309707242,0.6442475,20
39,0.8399616884115396,0.8259771657419167,0.797226502311248,0.64837295,20
59,0.8447097854791099,0.8322154376180179,0.8117103235747304,0.66385627,20
79,0.854663805791296,0.84518551507205,0.8469953775038521,0.6489164,20
99,0.860635282005142,0.8480831370470515,0.8559322033898306,0.6398036,20
